ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
ID,Usuario,Texto,Seguidores,Siguiendo,Favoritos Cuenta,RTs,Favoritos Tweet,Fecha,Localizacion
747835164072480768,luzcortadora,RT @Jamon_Lovers: Lanzamos una nueva sección sobre #marketing aplicado al mundo del #jamon. Iremos dando respuestas a las preguntas más fre…,412,567,1407,3,0,2018-05-02 13:57:34,"Cuenca, España"
556320663,M_LopezOrtega,RT @Jamon_Lovers: Lanzamos una nueva sección sobre #marketing aplicado al mundo del #jamon. Iremos dando respuestas a las preguntas más fre…,1053,486,2482,3,0,2018-05-02 13:54:19,
258994103,Isabelis_5,RT @elpozobienstar: Te mostramos cómo elaborar un delicioso #aperitivo para sorprender a tus invitados con una coca con #base de pasta de #…,621,2806,8335,1,0,2018-05-02 13:41:04,"Sevilla, España"
2792214971,SayitLoudBcn,RT @Rebelmadiaq: decora tu nevera #new #stickers #brillante #como #el #buen #jamón #handbomb #soundsystem… https://t.co/sNAop5cPpH,1243,655,1841,2,0,2018-05-02 13:36:05,Barcelona
4842015736,fogonesnogales,RT @Jamon_Lovers: Lanzamos una nueva sección sobre #marketing aplicado al mundo del #jamon. Iremos dando respuestas a las preguntas más fre…,142,194,831,3,0,2018-05-02 13:24:30,"Azuqueca de Henares, Castilla-"
4705916254,elpozobienstar,Te mostramos cómo elaborar un delicioso #aperitivo para sorprender a tus invitados con una coca con #base de pasta… https://t.co/r54uxOZC2g,4350,1948,639,1,2,2018-05-02 13:18:10,Alhama de Murcia
734642958,Tsalmantina,¡#FelizMiércoles! La principal razón por la que nuestros clientes eligen para su mesa los Jamones de La Salmantina… https://t.co/UkPHwuf7Mb,394,174,18,0,0,2018-05-02 13:01:15,
988451901451665409,JABUGOturismo,"Un lugar en boca de todos... 
#JABUGO ♥️

Donde habita el alma, 
de algo único... 

en el #ParqueNatural… https://t.co/I8W0xliLBf",45,67,50,0,0,2018-05-02 12:42:52,jabugo
871790685313224704,delizaragoza,"Seguimos con la semana de las recomendaciones en #Nativo: El jamón acompaña al plato, haciéndolo delicioso, ¡qué ri… https://t.co/B0gunvqRW7",367,169,252,0,0,2018-05-02 12:36:09,"Zaragoza, España"
2189060816,juncal3punto0,RT @HrnosSanchez: Te damos alguna claves sobre el #jamónibérico. Nuestro #jamones de @CastroyGonzalez dan talla en el sector. Calidad y tra…,2828,3212,2162,2,0,2018-05-02 12:15:45,"Pontevedra, Galicia"
3389169418,ginacordovap,RT @HrnosSanchez: Te damos alguna claves sobre el #jamónibérico. Nuestro #jamones de @CastroyGonzalez dan talla en el sector. Calidad y tra…,3187,3815,2676,2,0,2018-05-02 12:11:35,
274652228,Jamon_Lovers,Lanzamos una nueva sección sobre #marketing aplicado al mundo del #jamon. Iremos dando respuestas a las preguntas m… https://t.co/fXwMFPisGL,1975,624,6045,3,6,2018-05-02 12:08:04,Madrid
404399073,DeEnriqueTomas,Precintos y normativa del #JamónIbérico... Todo lo que debes saber en el blog de #EnriqueTomás https://t.co/B8krsd38ix,2820,757,1764,2,0,2018-05-02 12:01:23,Nuestro Jamón no tiene límites
208248179,arturokillo,Va por ustedes @Twitter y @TwitterEspana #JamónPorKino #España #SiNoTeGustaNoMires #Jamón https://t.co/ddGs7zVJ23,110,175,59,0,1,2018-05-02 11:46:58,"Today BSB, Tomorrow Who knows?"
598740135,cornella20,"RT @LosJamonesLH: Hasta el 7 de mayo, para profesionales de la #hostelería, sumamos a nuestros precios ya muy competitivos unos #descuentos…",4165,3935,3118,1,0,2018-05-02 11:30:42,Cornella
2755008308,jamon_tartessos,¿Sabías que el #jamón #ibérico contiene una gran cantidad de vitaminas y minerales saludables para nuestro organism… https://t.co/6CWlEsUa6d,222,155,31,0,0,2018-05-02 11:30:08,Cumbres Mayores (Huelva)
415018190,perrunillastree,RT @planvex: Una de las grandes ventajas de vivir en #Extremadura es poder disfrutar del mejor #jamón del mundo. Más de medio centenar de l…,323,1999,1136,6,0,2018-05-02 10:18:43,Campillo de Llerena
