ID,Seguidores,Siguiendo,Favoritos Cuenta
ID,Seguidores,Siguiendo,Favoritos Cuenta
Jamon_Lovers,1975,625,6059
MdelaConcordia,132,119,507
JamonBarbellido,96,265,14
jarosagarcia,276,175,38168
TopExtremadura,856,278,126
jonathangasparc,687,487,777
Jamonzar,113,145,277
Boadilla_CA,6938,6891,622
HamBot2,49,1,0
CiudadAumentada,4083,3759,1092
Mostachinstudio,18,103,67
tabernaboadilla,292,142,14
CEALmendralejo,402,52,651
Delicatessenst,154,101,197
calvopicon52,344,996,1962
Antoniopatanegr,594,1249,636
RtePlazaMercado,46,114,25
LosJamonesLH,875,4948,5285
aeceriber,1478,618,749
norbamedia,1239,1430,4106
jrdetejada,237,442,23415
avr381,1470,4930,48270
EligetuIberico,644,816,78
JoseRamonGamero,314,697,26
jgdelsol,807,646,9782
ZIRVICAS,1236,1589,57646
jamonplasencia,224,171,16
1delasmarys,179,391,2075
CataconCati,297,419,746
_vuelvoalpueblo,2562,2282,3942
Gemamdzf,133,536,414
Leonella_Dina,166,302,202
Embutidomallorc,208,891,1704
EduardoGJR,743,1197,7842
TurismoJiniebro,2401,1883,7768
BarcelonaSunSeg,975,2031,65
CuendaAna,204,257,1605
PIDE67,2174,1774,1118
Mariacosbel,412,668,6034
chefbop,10059,8986,14146
JavierRoderoCon,164,255,11839
CamaradeBadajoz,4166,652,217
RafaRMo,56,278,1048
Merylavado1997,871,1887,7193
juanma_gv,5398,3980,18263
estestucapricho,1240,869,434
CocinaConArte,440,559,46
Extremadura_tur,45424,2796,9431
EsojSabir,423,823,482
Louloulopez,3956,963,8853
IsaCoachYVida,3144,4109,7719
AlasArmando,973,1634,85321
Jefzvl,545,388,25712
Kino_Navarro,7662,1663,125532
BacoyBoca,7079,2192,24575
BlogHedonista,7177,2436,20431
Carnicasmulas,7906,2730,1622
DOMPAL_es,756,2135,481
hotelcorcentro,4995,4678,18743
cornella20,4168,3937,3129
nancybaby1963,61,179,934
ginacordovap,3189,3804,2730
JoelCiruelos,146,241,1149
comejamon,1669,1151,229
jesus_jamon,939,608,1885
1Sorokin,104,250,1746
distdeleca,29,155,91
carniceriaCM,108,53,76
RLHel,87,508,1035
AndaluciaSabor,7174,2970,3321
jf86phythe,240,1349,254
kikejulvez,551,203,1902
navarretinto,184,273,321
